"isn_seq";"ano";"cod_acao";"titulo";"dt_carga"
"9639";"2014";"00429";"Participação dos Municípios no Produto da Arrecadação da CIDE";"2014-07-28"
"9640";"2014";"00430";"Contribuição Patronal do Poder Executivo - Pessoal Civil";"2014-07-28"
"9641";"2014";"00431";"Contribuição Patronal do Poder Judiciário";"2014-07-28"
"9642";"2014";"00432";"Contribuição Patronal do Poder Legislativo";"2014-07-28"
"9643";"2014";"00434";"Contribuição Patronal do Ministério Público";"2014-07-28"
"9644";"2014";"00436";"Contribuição Patronal ao SUPSEC - PODER JUDICIÁRIO";"2014-07-28"
"9645";"2014";"00437";"Contribuição Patronal do Poder Executivo - Pessoal Militar";"2014-07-28"
"9646";"2014";"00438";"Reforço às Dotações de Pessoal de Órgãos e Entidades, Decorrentes de Concursos ";"2014-07-28"
"9647";"2014";"00439";"Cumprimento de Sentenças / Débitos Judiciais";"2014-07-28"
"9648";"2014";"00440";"Despesas de Pessoal Não Recorrentes e Indenizações";"2014-07-28"
"9649";"2014";"00441";"Reforço às Dotações Orçamentárias dos Órgãos e Entidades para a Execução do Pro";"2014-07-28"
"9650";"2014";"00442";"Incentivo à Arrecadação e Promoção da  Educação Tributária";"2014-07-28"
"9651";"2014";"00443";"Manutenção e Funcionamento dos Sistemas Administrativos e Informatizados";"2014-07-28"
"9652";"2014";"00444";"Pagamento da Parcela Autônoma de Equivalência - PAE - PGJ";"2014-07-28"
"9653";"2014";"00445";"Pagamento da Parcela Autônoma de Equivalência - PAE - TJ";"2014-07-28"
"9654";"2014";"00446";"Contribuição Patronal ao SUPSEC - Pessoal Militar";"2014-07-28"
"9655";"2014";"00447";"Contribuição Patronal ao SUPSEC - Pessoal Militar";"2014-07-28"
"9656";"2014";"00448";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9657";"2014";"00449";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9658";"2014";"00450";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9659";"2014";"00451";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9660";"2014";"00453";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9661";"2014";"00455";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9662";"2014";"00459";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9663";"2014";"00460";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9664";"2014";"00461";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9665";"2014";"00463";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9666";"2014";"00464";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9667";"2014";"00465";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9668";"2014";"00466";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9669";"2014";"00470";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9670";"2014";"00471";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9671";"2014";"00472";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9672";"2014";"00473";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9673";"2014";"00483";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9674";"2014";"00484";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9675";"2014";"00485";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9676";"2014";"00486";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9677";"2014";"00487";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9678";"2014";"00488";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9679";"2014";"00489";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9680";"2014";"00490";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9681";"2014";"00491";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9682";"2014";"00492";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9683";"2014";"00493";"Contribuição Patronal ao Regime Geral de Previdência - SECITECE";"2014-07-28"
"9684";"2014";"00494";"Contribuição Patronal ao Regime Geral de Previdência - FUNCAP";"2014-07-28"
"9685";"2014";"00495";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9686";"2014";"00497";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9687";"2014";"00498";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9688";"2014";"00499";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9689";"2014";"00500";"Contribuição Patronal ao Regime Geral de Previdência - FUNCEME";"2014-07-28"
"9690";"2014";"00501";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9691";"2014";"00502";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9692";"2014";"00503";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9693";"2014";"00504";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9694";"2014";"00505";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9695";"2014";"00506";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9696";"2014";"00507";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9697";"2014";"00510";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9698";"2014";"00511";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9699";"2014";"00512";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9700";"2014";"00514";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9701";"2014";"00518";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9702";"2014";"00520";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9703";"2014";"00521";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9704";"2014";"00523";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9705";"2014";"00524";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9706";"2014";"00525";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9707";"2014";"00526";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9708";"2014";"00527";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9709";"2014";"00528";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9710";"2014";"00529";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9711";"2014";"00530";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9712";"2014";"00531";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9713";"2014";"00532";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9714";"2014";"00533";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9715";"2014";"00534";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9716";"2014";"00535";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9717";"2014";"00536";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9718";"2014";"00537";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9719";"2014";"00538";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9720";"2014";"00539";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9721";"2014";"00540";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9722";"2014";"00541";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9723";"2014";"00543";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9724";"2014";"00544";"Contribuição Patronal ao SUPSEC - Pessoal Civil - FUNECE";"2014-07-28"
"9725";"2014";"00545";"Contribuição Patronal ao SUPSEC - Pessoal Civil - URCA";"2014-07-28"
"9726";"2014";"00546";"Contribuição Patronal ao SUPSEC - Pessoal Civil - FUNCAP";"2014-07-28"
"9727";"2014";"00548";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9728";"2014";"00550";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9729";"2014";"00551";"Contribuição Patronal ao SUPSEC - Pessoal Civil - SECITECE";"2014-07-28"
"9730";"2014";"00552";"Contribuição Patronal ao SUPSEC - Pessoal Civil - UVA";"2014-07-28"
"9731";"2014";"00556";"Contribuição Patronal ao SUPSEC - Pessoal Civil - FUNCEME";"2014-07-28"
"9732";"2014";"00557";"Contribuição Patronal ao SUPSEC - Pessoal Civil - NUTEC";"2014-07-28"
"9733";"2014";"00558";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9734";"2014";"00559";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9735";"2014";"00560";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9736";"2014";"00561";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9737";"2014";"00569";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9738";"2014";"00570";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9739";"2014";"00571";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9740";"2014";"00572";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9741";"2014";"00574";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9742";"2014";"00576";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9743";"2014";"00578";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9744";"2014";"00579";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9745";"2014";"00580";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9746";"2014";"00581";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9747";"2014";"00582";"Pagamento da Divida junto a União - COHAB";"2014-07-28"
"9748";"2014";"00583";"Contribuição Patronal ao SUPSEC - PODER LEGISLATIVO - TCE";"2014-07-28"
"9749";"2014";"00584";"Contribuição Patronal ao SUPSEC - PODER LEGISLATIVO";"2014-07-28"
"9750";"2014";"00585";"Contribuição Patronal ao SUPSEC - PODER LEGISLATIVO";"2014-07-28"
"9751";"2014";"00586";"Contribuição Patronal ao SUPSEC - MINISTÉRIO PÚBLICO";"2014-07-28"
"9752";"2014";"00587";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9753";"2014";"00588";"Obrigações devidas ao Fundo de Previdência Parlamentar";"2014-07-28"
"9754";"2014";"00589";"Participação Acionária do Estado - CAGECE";"2014-07-28"
"9755";"2014";"00592";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9756";"2014";"00593";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9757";"2014";"00594";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9758";"2014";"00595";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9759";"2014";"00596";"Pagamento de Dívida Contratual Vinculada à Despesa com Saúde.";"2014-07-28"
"9760";"2014";"00597";"Contribuição Patronal ao SUPSEC - Pessoal Civil";"2014-07-28"
"9761";"2014";"00598";"Cumprimento de Sentenças / Débitos Judiciais - DER";"2014-07-28"
"9762";"2014";"00599";"Contribuição Patronal ao Regime Geral de Previdência - URCA";"2014-07-28"
"9763";"2014";"00600";"Cumprimento de Sentenças/ Débitos Judiciais - SEMACE";"2014-07-28"
"9764";"2014";"00601";"Contribuição Patronal ao Regime Geral de Previdência - FUNECE";"2014-07-28"
"9765";"2014";"00602";"Cumprimento de Sentenças / Débitos Judiciais - ISSEC";"2014-07-28"
"9766";"2014";"00603";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9767";"2014";"00605";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9768";"2014";"00608";"Manutenção do Hospital Regional do Sertão Central Executado por meio de Contrat";"2014-07-28"
"9769";"2014";"00609";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9770";"2014";"00610";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9771";"2014";"00611";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9772";"2014";"00612";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9773";"2014";"00613";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9774";"2014";"00615";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9775";"2014";"00616";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9776";"2014";"00617";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9777";"2014";"00618";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9778";"2014";"00619";"Contribuição Patronal ao Regime Geral de Previdência";"2014-07-28"
"9779";"2014";"00620";"Pagamento de Precatórios - IDACE";"2014-07-28"
"9780";"2014";"00621";"Contribuição Patronal ao Regime Geral de Previdência - DETRAN";"2014-07-28"
"9781";"2014";"00623";"Pagamento da Dívida";"2014-07-28"
